country_id,latitude,longitude,bright_ti4,scan,track,tanggal_f,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,Kota,lat_p,lon_p,distance,hs
IDN,-3.31268,104.71143,338.22,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,308.32,3.76,D,Palembang,-2.9831,104.7527,36.7,1
IDN,-3.31253,104.91395,336.85,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.74,4.25,D,Palembang,-2.9831,104.7527,40.6,1
IDN,-3.312,104.91743,332.04,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.49,4.25,D,Palembang,-2.9831,104.7527,40.7,1
IDN,-3.31026,104.90647,347.95,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.32,10.39,D,Palembang,-2.9831,104.7527,40,1
IDN,-3.3078,104.20567,346.01,0.38,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,296.78,4.67,D,Palembang,-2.9831,104.7527,70.6,1
IDN,-3.30731,104.65749,330.1,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.29,2.24,D,Palembang,-2.9831,104.7527,37.4,1
IDN,-3.30451,104.65354,344.8,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,294.66,8.86,D,Palembang,-2.9831,104.7527,37.2,1
IDN,-3.30346,104.66045,336.39,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.46,2.57,D,Palembang,-2.9831,104.7527,36.9,1
IDN,-3.30172,104.64957,338.81,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.21,8.86,D,Palembang,-2.9831,104.7527,37.1,1
IDN,-3.3012,104.65304,352.79,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,297.73,8.86,D,Palembang,-2.9831,104.7527,36.9,1
IDN,-3.30119,105.03368,338.01,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.04,4.94,D,Palembang,-2.9831,104.7527,47,1
IDN,-3.30035,104.99421,342.2,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.75,11.45,D,Palembang,-2.9831,104.7527,44.2,1
IDN,-3.29104,105.01068,345.76,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.1,5.48,D,Palembang,-2.9831,104.7527,44.5,1
IDN,-3.29051,105.01418,342.44,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.14,5.48,D,Palembang,-2.9831,104.7527,44.7,1
IDN,-3.28997,105.01768,337.14,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,307.32,3.25,D,Palembang,-2.9831,104.7527,44.9,1
IDN,-3.28756,104.9887,356.04,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,315.96,13.47,D,Palembang,-2.9831,104.7527,42.7,1
IDN,-3.28423,104.9882,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,299.26,13.47,D,Palembang,-2.9831,104.7527,42.4,1
IDN,-3.28369,104.9917,343.25,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.99,13.47,D,Palembang,-2.9831,104.7527,42.6,1
IDN,-3.28364,104.90247,330.59,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.74,1.21,D,Palembang,-2.9831,104.7527,37.2,1
IDN,-3.28349,105.34508,351.91,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,305.94,7.12,D,Palembang,-2.9831,104.7527,73.7,1
IDN,-3.28234,104.95577,344.14,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.23,11.95,D,Palembang,-2.9831,104.7527,40.1,1
IDN,-3.28068,105.34103,331.93,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.44,2.71,D,Palembang,-2.9831,104.7527,73.2,1
IDN,-3.28013,105.34457,334.09,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.36,2.71,D,Palembang,-2.9831,104.7527,73.5,1
IDN,-3.27818,104.15547,333.66,0.38,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,296.38,1.92,D,Palembang,-2.9831,104.7527,74,1
IDN,-3.27732,105.34052,334.04,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.57,2.71,D,Palembang,-2.9831,104.7527,73,1
IDN,-3.27435,104.15842,342.86,0.38,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,294.85,5.32,D,Palembang,-2.9831,104.7527,73.5,1
IDN,-3.27061,105.33952,347.03,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,306.86,8.17,D,Palembang,-2.9831,104.7527,72.6,1
IDN,-3.27007,105.34306,332.07,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.17,8.17,D,Palembang,-2.9831,104.7527,72.9,1
IDN,-3.26867,105.3386,330.5,0.4,0.37,2023-10-01,629,1,VIIRS,l,2.0NRT,301.13,3.43,D,Palembang,-2.9831,104.7527,72.4,1
IDN,-3.26478,105.34164,335.79,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.38,3.43,D,Palembang,-2.9831,104.7527,72.5,1
IDN,-3.25648,105.2607,341.23,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.76,2.78,D,Palembang,-2.9831,104.7527,64,1
IDN,-3.24374,105.27688,335.76,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,294.6,1.34,D,Palembang,-2.9831,104.7527,65,1
IDN,-3.24058,104.73914,344.83,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.77,6.84,D,Palembang,-2.9831,104.7527,28.5,1
IDN,-3.23544,104.99516,339.23,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.97,8.22,D,Palembang,-2.9831,104.7527,38.8,1
IDN,-3.23211,104.99466,347.09,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.66,3.64,D,Palembang,-2.9831,104.7527,38.5,1
IDN,-3.23158,104.99815,337.49,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.2,3.64,D,Palembang,-2.9831,104.7527,38.7,1
IDN,-3.20082,105.28851,331.1,0.39,0.37,2023-10-01,629,1,VIIRS,l,2.0NRT,302.35,2.6,D,Palembang,-2.9831,104.7527,64.2,1
IDN,-3.19747,105.288,339.84,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.25,2.6,D,Palembang,-2.9831,104.7527,64.1,1
IDN,-3.1885,105.2794,351.94,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.21,14.2,D,Palembang,-2.9831,104.7527,62.8,1
IDN,-3.18796,105.28294,336.45,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,291.23,1.34,D,Palembang,-2.9831,104.7527,63.1,1
IDN,-3.17255,105.33861,342.25,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.69,17.76,D,Palembang,-2.9831,104.7527,68.4,1
IDN,-3.172,105.34216,355.03,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,306.99,17.76,D,Palembang,-2.9831,104.7527,68.8,1
IDN,-3.17145,105.34571,367,0.4,0.37,2023-10-01,629,1,VIIRS,h,2.0NRT,303.2,13.94,D,Palembang,-2.9831,104.7527,69.1,1
IDN,-3.16646,105.35585,333.85,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,295.69,27.71,D,Palembang,-2.9831,104.7527,70,1
IDN,-3.16365,105.3518,340.36,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,298.33,13.98,D,Palembang,-2.9831,104.7527,69.5,1
IDN,-3.1631,105.35535,340.98,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,305.62,13.98,D,Palembang,-2.9831,104.7527,69.9,1
IDN,-3.16255,105.3589,332.41,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.56,7.91,D,Palembang,-2.9831,104.7527,70.2,1
IDN,-3.16084,105.34774,345.94,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,296.47,8.73,D,Palembang,-2.9831,104.7527,69,1
IDN,-3.16029,105.35129,341.52,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.79,13.98,D,Palembang,-2.9831,104.7527,69.4,1
IDN,-3.15821,105.3507,332.78,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.05,2.56,D,Palembang,-2.9831,104.7527,69.2,1
IDN,-3.15767,105.35426,330.58,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.94,2.56,D,Palembang,-2.9831,104.7527,69.6,1
IDN,-3.15485,105.3502,334.33,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.43,2.56,D,Palembang,-2.9831,104.7527,69.1,1
IDN,-3.15168,105.10046,335.61,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.81,2.22,D,Palembang,-2.9831,104.7527,42.9,1
IDN,-3.14834,105.09996,338.23,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.34,6.82,D,Palembang,-2.9831,104.7527,42.7,1
IDN,-3.14446,105.10297,346.61,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.08,8.76,D,Palembang,-2.9831,104.7527,42.8,1
IDN,-3.13866,105.25349,330.61,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,298.71,4.48,D,Palembang,-2.9831,104.7527,58.3,1
