latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-3.61582,105.72997,335.52,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61582105.72997,129.1940859,1,,,,,,,,,,,,
-3.61527,105.73358,354.58,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61527105.73358,129.4987302,1,,,,,,,,,,,,
-3.61515,105.2849,330.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61515105.28490,91.55883928,1,,,,,,,,,,,,
-3.61472,105.7372,349.5,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61472105.73720,129.8048652,1,,,,,,,,,,,,
-3.61461,105.28843,335.96,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61461105.28843,91.76732047,1,,,,,,,,,,,,
-3.61407,105.29195,352.05,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61407105.29195,91.97631734,1,,,,,,,,,,,,
-3.61353,105.29549,340.32,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61353105.29549,92.18799384,1,,,,,,,,,,,,
-3.61244,105.30254,336.25,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61244105.30254,92.61199492,1,,,,,,,,,,,,
-3.61189,105.73307,347.22,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61189105.73307,129.249735,1,,,,,,,,,,,,
-3.61134,105.73669,335.39,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61134105.73669,129.556459,1,,,,,,,,,,,,
-3.61072,105.29146,335.45,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61072105.29146,91.6601132,1,,,,,,,,,,,,
-3.61018,105.29498,352.49,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61018105.29498,91.87106858,1,,,,,,,,,,,,
-3.60964,105.29851,333.17,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.60964105.29851,92.08397371,1,,,,,,,,,,,,
-3.60086,104.84597,332.61,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.60086104.84597,69.09262145,1,,,,,,,,,,,,
-3.5939,104.64655,345.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.59390104.64655,68.56355387,1,,,,,,,,,,,,
-3.59337,104.65001,334.15,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.59337104.65001,68.44065136,1,,,,,,,,,,,,
-3.58836,104.61605,334.98,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58836104.61605,68.62982314,1,,,,,,,,,,,,
-3.58784,104.61951,335.92,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58784104.61951,68.48961418,1,,,,,,,,,,,,
-3.58453,104.61901,351.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58453104.61901,68.14439532,1,,,,,,,,,,,,
-3.58365,104.64716,330.46,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58365104.64716,67.43549477,1,,,,,,,,,,,,
-3.58313,104.65061,340.54,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58313104.65061,67.3131833,1,,,,,,,,,,,,
-3.58034,104.64666,333.37,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.58034104.64666,67.08483211,1,,,,,,,,,,,,
-3.57981,104.65012,346.41,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.57981104.65012,66.96059717,1,,,,,,,,,,,,
-3.57042,105.598,343.6,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.57042105.5980,114.2081082,1,,,,,,,,,,,,
-3.54545,104.63081,336.63,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.54545104.63081,63.64197081,1,,,,,,,,,,,,
-3.53984,104.69009,333.7,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53984104.69009,61.95513762,1,,,,,,,,,,,,
-3.53813,104.61204,336.28,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53813104.61204,63.33373555,1,,,,,,,,,,,,
-3.5381,104.97041,332.6,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53810104.97041,65.96837429,1,,,,,,,,,,,,
-3.53694,105.74762,340.49,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53694105.74762,126.4024655,1,,,,,,,,,,,,
-3.5355,104.62931,367,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53550104.62931,62.60368972,1,,,,,,,,,,,,
-3.53271,104.62536,333.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53271104.62536,62.40080944,1,,,,,,,,,,,,
-3.53244,105.75434,346.59,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53244105.75434,126.81745,1,,,,,,,,,,,,
-3.53219,104.62881,367,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53219104.62881,62.25888743,1,,,,,,,,,,,,
-3.53166,104.63227,346.01,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.53166104.63227,62.11774186,1,,,,,,,,,,,,
-3.5294,104.62486,332.46,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.52940104.62486,62.05709304,1,,,,,,,,,,,,
-3.52887,104.62831,343.07,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.52887104.62831,61.91330081,1,,,,,,,,,,,,
-3.52273,104.69106,337.47,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.52273104.69106,60.063102,1,,,,,,,,,,,,
-3.52238,105.65297,332.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.52238105.65297,116.4791793,1,,,,,,,,,,,,
-3.51909,104.64806,338.12,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.51909104.64806,60.3988598,1,,,,,,,,,,,,
-3.50991,105.35184,341.44,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50991105.35184,88.4738385,1,,,,,,,,,,,,
-3.50936,105.35538,354.41,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50936105.35538,88.7304536,1,,,,,,,,,,,,
-3.50882,105.35892,335.32,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.50882105.35892,88.98883222,1,,,,,,,,,,,,
